subtopic,area,dimension,default_polarity
accessible-wheelchair,Accessibility,Availability,positive
missing-ramp,Accessibility,Availability,negative
steep-stairs,Accessibility,Convenience,negative
absent-wheelchair,Accessibility,Service Quality,negative
modern-bathroom,Bathroom,Aesthetics,positive
modern-shower,Bathroom,Aesthetics,positive
inaccessible-bathroom,Bathroom,Availability,negative
clean-bathroom,Bathroom,Cleanliness,positive
dirty-bathroom,Bathroom,Cleanliness,negative
moldy-bathroom,Bathroom,Cleanliness,negative
broken-toilet,Bathroom,Condition,negative
clogged-drain,Bathroom,Condition,negative
good-pressure,Bathroom,Condition,positive
great-pressure,Bathroom,Condition,positive
leaky-faucet,Bathroom,Condition,negative
low-pressure,Bathroom,Condition,context-dependent
running-toilet,Bathroom,Condition,context-dependent
strong-flush,Bathroom,Condition,positive
weak-flush,Bathroom,Condition,negative
weak-pressure,Bathroom,Condition,negative
cramped-bathroom,Bathroom,Size,negative
small-bathroom,Bathroom,Size,negative
small-tub,Bathroom,Size,negative
spacious-bathroom,Bathroom,Size,positive
cold-shower,Bathroom,Temperature,context-dependent
cold-tub,Bathroom,Temperature,context-dependent
hot-shower,Bathroom,Temperature,context-dependent
hot-tub,Bathroom,Temperature,context-dependent
boring-activity,Entertainment,Ambiance,negative
boring-entertainment,Entertainment,Ambiance,negative
boring-event,Entertainment,Ambiance,negative
boring-game,Entertainment,Ambiance,negative
boring-show,Entertainment,Ambiance,negative
entertaining-show,Entertainment,Ambiance,positive
fun-activity,Entertainment,Ambiance,positive
fun-club,Entertainment,Ambiance,positive
fun-entertainment,Entertainment,Ambiance,positive
fun-event,Entertainment,Ambiance,positive
fun-fiesta,Entertainment,Ambiance,positive
fun-game,Entertainment,Ambiance,positive
fun-party,Entertainment,Ambiance,positive
fun-show,Entertainment,Ambiance,positive
live-entertainment,Entertainment,Ambiance,positive
live-music,Entertainment,Ambiance,positive
pleasant-music,Entertainment,Ambiance,positive
terrible-music,Entertainment,Ambiance,negative
available-tour,Entertainment,Availability,positive
exclusive-club,Entertainment,Availability,positive
free-activity,Entertainment,Availability,positive
free-tour,Entertainment,Availability,positive
private-party,Entertainment,Availability,positive
broken-game,Entertainment,Condition,negative
loud-fiesta,Entertainment,Noise,negative
loud-music,Entertainment,Noise,negative
loud-party,Entertainment,Noise,negative
absent-tour,Entertainment,Service Quality,negative
disorganized-event,Entertainment,Service Quality,negative
disorganized-fiesta,Entertainment,Service Quality,negative
